"違反雇主清冊"
"編號","縣市／單位別","公告日期","事業單位名稱(負責人)
自然人姓名","處分日期","處分字號","違反法規條款","法條敘述","處分金額／滯納金","備註"
"41","台北市","115/06/05","數辰創藝科技股份有限公司","115/04/24","北市勞資第11560145741號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"107","台北市","115/06/05","彼雅特科技股份有限公司","115/04/10","北市勞資第11560054561號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"260","台北市","115/05/05","泉科綠能產業股份有限公司","115/03/11","北市勞資第11560026412號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"332","台北市","115/04/05","收多易股份有限公司","115/02/11","北市勞資第11560277751號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"337","台北市","115/04/05","山岳開發建設股份有限公司","115/02/06","北市勞資第11560269851號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"338","台北市","115/04/05","誠和國際股份有限公司","115/02/06","北市勞資第11560001041號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"339","台北市","115/04/05","好動動畫股份有限公司","115/02/06","北市勞資第11560028351號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"384","台北市","115/04/05","駿斯運動事業股份有限公司","115/02/04","北市勞資第11560032392號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"434","台北市","115/04/05","眾至資訊股份有限公司","115/02/03","北市勞資第11560255742號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"583","台北市","115/03/05","台安醫藥股份有限公司","115/01/14","北市勞資第11461119111號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"731","台北市","115/02/05","全真概念健康事業股份有限公司","114/12/24","北市勞資字第11461329671號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","1,500,000","",
"861","台北市","115/01/07","一彥企業股份有限公司","114/11/28","北市勞資字第11461280303號","勞工退休金條例第13條第1項","雇主未繼續按月提撥勞工退休準備金。","20,000","",
"988","台北市","115/01/06","海博資訊股份有限公司","114/11/10","北市勞資字第11461137833號","勞工退休金條例第13條第1項","雇主未繼續按月提撥勞工退休準備金。","20,000","",
"989","台北市","115/01/05","北名實業有限公司","114/11/10","北市勞資字第11461137813號","勞工退休金條例第13條第1項","雇主未繼續按月提撥勞工退休準備金。","20,000","",
"1137","台北市","114/12/05","凱必多亞洲有限公司","114/10/17","北市勞資字第11460423171號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"1138","台北市","114/12/05","大悅開發建設股份有限公司","114/10/17","北市勞資字第11460136291號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"1215","台北市","114/12/05","沁亞科技有限公司","114/10/07","北市勞資字第11461045501號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"1258","台北市","114/11/05","安陽運通股份有限公司","114/09/25","北市勞資字第11460410971號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","訴願駁回",
"1269","台北市","114/11/05","台灣美國運通國際股份有限公司","114/09/23","北市勞資字第11461014991號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
